Pokedex No.,Name,Type,Other Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Generation,Legendary
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,1,0
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1,0
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,1,0
3,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,1,0
4,Charmander,Fire,,39,52,43,60,50,65,309,1,0
5,Charmeleon,Fire,,58,64,58,80,65,80,405,1,0
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1,0
6,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,1,0
6,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,1,0
7,Squirtle,Water,,44,48,65,50,64,43,314,1,0
8,Wartortle,Water,,59,63,80,65,80,58,405,1,0
9,Blastoise,Water,,79,83,100,85,105,78,530,1,0
9,Mega Blastoise,Water,,79,103,120,135,115,78,630,1,0
10,Caterpie,Bug,,45,30,35,20,20,45,195,1,0
11,Metapod,Bug,,50,20,55,25,25,30,205,1,0
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1,0
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,1,0
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,1,0
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1,0
15,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,1,0
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,1,0
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1,0
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1,0
18,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,1,0
19,Rattata,Normal,,30,56,35,25,35,72,253,1,0
19,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,253,1,0
20,Raticate,Normal,,55,81,60,50,70,97,413,1,0
20,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,413,1,0
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,1,0
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1,0
23,Ekans,Poison,,35,60,44,40,54,55,288,1,0
24,Arbok,Poison,,60,95,69,65,79,80,448,1,0
25,Pikachu,Electric,,35,55,40,50,50,90,320,1,0
25,Partner Pikachu,Electric,,45,80,50,75,60,120,430,1,0
26,Raichu,Electric,,60,90,55,90,80,110,485,1,0
26,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485,1,0
27,Sandshrew,Ground,,50,75,85,20,30,40,300,1,0
27,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300,1,0
28,Sandslash,Ground,,75,100,110,45,55,65,450,1,0
28,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450,1,0
29,Nidoran♀,Poison,,55,47,52,40,40,41,275,1,0
30,Nidorina,Poison,,70,62,67,55,55,56,365,1,0
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1,0
32,Nidoran♂,Poison,,46,57,40,40,40,50,273,1,0
33,Nidorino,Poison,,61,72,57,55,55,65,365,1,0
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1,0
35,Clefairy,Fairy,,70,45,48,60,65,35,323,1,0
36,Clefable,Fairy,,95,70,73,95,90,60,483,1,0
37,Vulpix,Fire,,38,41,40,50,65,65,299,1,0
37,Alolan Vulpix,Ice,,38,41,40,50,65,65,299,1,0
38,Ninetales,Fire,,73,76,75,81,100,100,505,1,0
38,Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,505,1,0
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,1,0
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,1,0
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,1,0
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,1,0
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,1,0
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,1,0
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,1,0
46,Paras,Bug,Grass,35,70,55,45,55,25,285,1,0
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,1,0
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,1,0
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,1,0
50,Diglett,Ground,,10,55,25,35,45,95,265,1,0
50,Alolan Diglett,Ground,Steel,10,55,30,35,45,90,265,1,0
51,Dugtrio,Ground,,35,100,50,50,70,120,425,1,0
51,Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,425,1,0
52,Meowth,Normal,,40,45,35,40,40,90,290,1,0
52,Alolan Meowth,Dark,,40,35,35,50,40,90,290,1,0
52,Galarian Meowth,Steel,,50,65,55,40,40,40,290,1,0
53,Persian,Normal,,65,70,60,65,65,115,440,1,0
53,Alolan Persian,Dark,,65,60,60,75,65,115,440,1,0
54,Psyduck,Water,,50,52,48,65,50,55,320,1,0
55,Golduck,Water,,80,82,78,95,80,85,500,1,0
56,Mankey,Fighting,,40,80,35,35,45,70,305,1,0
57,Primeape,Fighting,,65,105,60,60,70,95,455,1,0
58,Growlithe,Fire,,55,70,45,70,50,60,350,1,0
59,Arcanine,Fire,,90,110,80,100,80,95,555,1,0
60,Poliwag,Water,,40,50,40,40,40,90,300,1,0
61,Poliwhirl,Water,,65,65,65,50,50,90,385,1,0
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1,0
63,Abra,Psychic,,25,20,15,105,55,90,310,1,0
64,Kadabra,Psychic,,40,35,30,120,70,105,400,1,0
65,Alakazam,Psychic,,55,50,45,135,95,120,500,1,0
65,Mega Alakazam,Psychic,,55,50,65,175,105,150,600,1,0
66,Machop,Fighting,,70,80,50,35,35,35,305,1,0
67,Machoke,Fighting,,80,100,70,50,60,45,405,1,0
68,Machamp,Fighting,,90,130,80,65,85,55,505,1,0
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,1,0
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,1,0
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,1,0
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,1,0
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,1,0
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,1,0
74,Alolan Geodude,Rock,Electric,40,80,100,30,30,20,300,1,0
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,1,0
75,Alolan Graveler,Rock,Electric,55,95,115,45,45,35,390,1,0
76,Golem,Rock,Ground,80,120,130,55,65,45,495,1,0
76,Alolan Golem,Rock,Electric,80,120,130,55,65,45,495,1,0
77,Ponyta,Fire,,50,85,55,65,65,90,410,1,0
77,Galarian Ponyta,Psychic,,50,85,55,65,65,90,410,1,0
78,Rapidash,Fire,,65,100,70,80,80,105,500,1,0
78,Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,500,1,0
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,1,0
79,Galarian Slowpoke,Psychic,,90,65,65,40,40,15,315,1,0
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,1,0
80,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,1,0
80,Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,490,1,0
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,1,0
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,1,0
83,Farfetch'D,Normal,Flying,52,90,55,58,62,60,377,1,0
83,Galarian Farfetch'D,Fighting,,52,95,55,58,62,55,377,1,0
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,1,0
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,1,0
86,Seel,Water,,65,45,55,45,70,45,325,1,0
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,1,0
88,Grimer,Poison,,80,80,50,40,50,25,325,1,0
88,Alolan Grimer,Poison,Dark,80,80,50,40,50,25,325,1,0
89,Muk,Poison,,105,105,75,65,100,50,500,1,0
89,Alolan Muk,Poison,Dark,105,105,75,65,100,50,500,1,0
90,Shellder,Water,,30,65,100,45,25,40,305,1,0
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,1,0
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,1,0
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,1,0
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,1,0
94,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600,1,0
95,Onix,Rock,Ground,35,45,160,30,45,70,385,1,0
96,Drowzee,Psychic,,60,48,45,43,90,42,328,1,0
97,Hypno,Psychic,,85,73,70,73,115,67,483,1,0
98,Krabby,Water,,30,105,90,25,25,50,325,1,0
99,Kingler,Water,,55,130,115,50,50,75,475,1,0
100,Voltorb,Electric,,40,30,50,55,55,100,330,1,0
101,Electrode,Electric,,60,50,70,80,80,150,490,1,0
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,1,0
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,1,0
103,Alolan Exeggutor,Grass,Dragon,95,105,85,125,75,45,530,1,0
104,Cubone,Ground,,50,50,95,40,50,35,320,1,0
105,Marowak,Ground,,60,80,110,50,80,45,425,1,0
105,Alolan Marowak,Fire,Ghost,60,80,110,50,80,45,425,1,0
106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,1,0
107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,1,0
108,Lickitung,Normal,,90,55,75,60,75,30,385,1,0
109,Koffing,Poison,,40,65,95,60,45,35,340,1,0
110,Weezing,Poison,,65,90,120,85,70,60,490,1,0
110,Galarian Weezing,Poison,Fairy,65,90,120,85,70,60,490,1,0
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,1,0
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,1,0
113,Chansey,Normal,,250,5,5,35,105,50,450,1,0
114,Tangela,Grass,,65,55,115,100,40,60,435,1,0
115,Kangaskhan,Normal,,105,95,80,40,80,90,490,1,0
115,Mega Kangaskhan,Normal,,105,125,100,60,100,100,590,1,0
116,Horsea,Water,,30,40,70,70,25,60,295,1,0
117,Seadra,Water,,55,65,95,95,45,85,440,1,0
118,Goldeen,Water,,45,67,60,35,50,63,320,1,0
119,Seaking,Water,,80,92,65,65,80,68,450,1,0
120,Staryu,Water,,30,45,55,70,55,85,340,1,0
121,Starmie,Water,Psychic,60,75,85,100,85,115,520,1,0
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,1,0
122,Galarian Mr. Mime,Psychic,Ice,50,65,65,90,90,100,460,1,0
123,Scyther,Bug,Flying,70,110,80,55,80,105,500,1,0
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,1,0
125,Electabuzz,Electric,,65,83,57,95,85,105,490,1,0
126,Magmar,Fire,,65,95,57,100,85,93,495,1,0
127,Pinsir,Bug,,65,125,100,55,70,85,500,1,0
127,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,600,1,0
128,Tauros,Normal,,75,100,95,40,70,110,490,1,0
129,Magikarp,Water,,20,10,55,15,20,80,200,1,0
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,1,0
130,Mega Gyarados,Water,Dark,95,155,109,70,130,81,640,1,0
131,Lapras,Water,Ice,130,85,80,85,95,60,535,1,0
132,Ditto,Normal,,48,48,48,48,48,48,288,1,0
133,Eevee,Normal,,55,55,50,45,65,55,325,1,0
133,Partner Eevee,Normal,,65,75,70,65,85,75,435,1,0
134,Vaporeon,Water,,130,65,60,110,95,65,525,1,0
135,Jolteon,Electric,,65,65,60,110,95,130,525,1,0
136,Flareon,Fire,,65,130,60,95,110,65,525,1,0
137,Porygon,Normal,,65,60,70,85,75,40,395,1,0
138,Omanyte,Rock,Water,35,40,100,90,55,35,355,1,0
139,Omastar,Rock,Water,70,60,125,115,70,55,495,1,0
140,Kabuto,Rock,Water,30,80,90,55,45,55,355,1,0
141,Kabutops,Rock,Water,60,115,105,65,70,80,495,1,0
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,1,0
142,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,615,1,0
143,Snorlax,Normal,,160,110,65,65,110,30,540,1,0
144,Articuno,Ice,Flying,90,85,100,95,125,85,580,1,1
144,Galarian Articuno,Psychic,Flying,90,85,85,125,100,95,580,1,1
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,1,1
145,Galarian Zapdos,Fighting,Flying,90,125,90,85,90,100,580,1,1
146,Moltres,Fire,Flying,90,100,90,125,85,90,580,1,1
146,Galarian Moltres,Dark,Flying,90,85,90,100,125,90,580,1,1
147,Dratini,Dragon,,41,64,45,50,50,50,300,1,0
148,Dragonair,Dragon,,61,84,65,70,70,70,420,1,0
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,1,0
150,Mewtwo,Psychic,,106,110,90,154,90,130,680,1,1
150,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,780,1,1
150,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,780,1,1
151,Mew,Psychic,,100,100,100,100,100,100,600,1,1
152,Chikorita,Grass,,45,49,65,49,65,45,318,2,0
153,Bayleef,Grass,,60,62,80,63,80,60,405,2,0
154,Meganium,Grass,,80,82,100,83,100,80,525,2,0
155,Cyndaquil,Fire,,39,52,43,60,50,65,309,2,0
156,Quilava,Fire,,58,64,58,80,65,80,405,2,0
157,Typhlosion,Fire,,78,84,78,109,85,100,534,2,0
158,Totodile,Water,,50,65,64,44,48,43,314,2,0
159,Croconaw,Water,,65,80,80,59,63,58,405,2,0
160,Feraligatr,Water,,85,105,100,79,83,78,530,2,0
161,Sentret,Normal,,35,46,34,35,45,20,215,2,0
162,Furret,Normal,,85,76,64,45,55,90,415,2,0
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,2,0
164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,2,0
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,2,0
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,2,0
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,2,0
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,2,0
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,2,0
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,2,0
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,2,0
172,Pichu,Electric,,20,40,15,35,35,60,205,2,0
173,Cleffa,Fairy,,50,25,28,45,55,15,218,2,0
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,2,0
175,Togepi,Fairy,,35,20,65,40,65,20,245,2,0
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,2,0
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,2,0
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,2,0
179,Mareep,Electric,,55,40,40,65,45,35,280,2,0
180,Flaaffy,Electric,,70,55,55,80,60,45,365,2,0
181,Ampharos,Electric,,90,75,85,115,90,55,510,2,0
181,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,610,2,0
182,Bellossom,Grass,,75,80,95,90,100,50,490,2,0
183,Marill,Water,Fairy,70,20,50,20,50,40,250,2,0
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,2,0
185,Sudowoodo,Rock,,70,100,115,30,65,30,410,2,0
186,Politoed,Water,,90,75,75,90,100,70,500,2,0
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,2,0
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,2,0
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,2,0
190,Aipom,Normal,,55,70,55,40,55,85,360,2,0
191,Sunkern,Grass,,30,30,30,30,30,30,180,2,0
192,Sunflora,Grass,,75,75,55,105,85,30,425,2,0
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,2,0
194,Wooper,Water,Ground,55,45,45,25,25,15,210,2,0
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,2,0
196,Espeon,Psychic,,65,65,60,130,95,110,525,2,0
197,Umbreon,Dark,,95,65,110,60,130,65,525,2,0
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,2,0
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,2,0
199,Galarian Slowking,Poison,Psychic,95,65,80,110,110,30,490,2,0
200,Misdreavus,Ghost,,60,60,60,85,85,85,435,2,0
201,Unown,Psychic,,48,72,48,72,48,48,336,2,0
202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,2,0
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,2,0
204,Pineco,Bug,,50,65,90,35,35,15,290,2,0
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,2,0
206,Dunsparce,Normal,,100,70,70,65,65,45,415,2,0
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,2,0
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,2,0
208,Mega Steelix,Steel,Ground,75,125,230,55,95,30,610,2,0
209,Snubbull,Fairy,,60,80,50,40,40,30,300,2,0
210,Granbull,Fairy,,90,120,75,60,60,45,450,2,0
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,2,0
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,2,0
212,Mega Scizor,Bug,Steel,70,150,140,65,100,75,600,2,0
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,2,0
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,2,0
214,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,600,2,0
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,2,0
216,Teddiursa,Normal,,60,80,50,50,50,40,330,2,0
217,Ursaring,Normal,,90,130,75,75,75,55,500,2,0
218,Slugma,Fire,,40,40,40,70,40,20,250,2,0
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,2,0
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,2,0
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,2,0
222,Corsola,Water,Rock,65,55,95,65,95,35,410,2,0
222,Galarian Corsola,Ghost,,60,55,100,65,100,30,410,2,0
223,Remoraid,Water,,35,65,35,65,35,65,300,2,0
224,Octillery,Water,,75,105,75,105,75,45,480,2,0
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,2,0
226,Mantine,Water,Flying,85,40,70,80,140,70,485,2,0
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,2,0
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,2,0
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,2,0
229,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,600,2,0
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,2,0
231,Phanpy,Ground,,90,60,60,40,40,40,330,2,0
232,Donphan,Ground,,90,120,120,60,60,50,500,2,0
233,Porygon2,Normal,,85,80,90,105,95,60,515,2,0
234,Stantler,Normal,,73,95,62,85,65,85,465,2,0
235,Smeargle,Normal,,55,20,35,20,45,75,250,2,0
236,Tyrogue,Fighting,,35,35,35,35,35,35,210,2,0
237,Hitmontop,Fighting,,50,95,95,35,110,70,455,2,0
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,2,0
239,Elekid,Electric,,45,63,37,65,55,95,360,2,0
240,Magby,Fire,,45,75,37,70,55,83,365,2,0
241,Miltank,Normal,,95,80,105,40,70,100,490,2,0
242,Blissey,Normal,,255,10,10,75,135,55,540,2,0
243,Raikou,Electric,,90,85,75,115,100,115,580,2,1
244,Entei,Fire,,115,115,85,90,75,100,580,2,1
245,Suicune,Water,,100,75,115,90,115,85,580,2,1
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300,2,0
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,2,0
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,2,0
248,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700,2,0
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680,2,1
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,680,2,1
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,2,1
252,Treecko,Grass,,40,45,35,65,55,70,310,3,0
253,Grovyle,Grass,,50,65,45,85,65,95,405,3,0
254,Sceptile,Grass,,70,85,65,105,85,120,530,3,0
254,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,630,3,0
255,Torchic,Fire,,45,60,40,70,50,45,310,3,0
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,3,0
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,3,0
257,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,630,3,0
258,Mudkip,Water,,50,70,50,50,50,40,310,3,0
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,3,0
260,Swampert,Water,Ground,100,110,90,85,90,60,535,3,0
260,Mega Swampert,Water,Ground,100,150,110,95,110,70,635,3,0
261,Poochyena,Dark,,35,55,35,30,30,35,220,3,0
262,Mightyena,Dark,,70,90,70,60,60,70,420,3,0
263,Zigzagoon,Normal,,38,30,41,30,41,60,240,3,0
263,Galarian Zigzagoon,Dark,Normal,38,30,41,30,41,60,240,3,0
264,Linoone,Normal,,78,70,61,50,61,100,420,3,0
264,Galarian Linoone,Dark,Normal,78,70,61,50,61,100,420,3,0
265,Wurmple,Bug,,45,45,35,20,30,20,195,3,0
266,Silcoon,Bug,,50,35,55,25,25,15,205,3,0
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395,3,0
268,Cascoon,Bug,,50,35,55,25,25,15,205,3,0
269,Dustox,Bug,Poison,60,50,70,50,90,65,385,3,0
270,Lotad,Water,Grass,40,30,30,40,50,30,220,3,0
271,Lombre,Water,Grass,60,50,50,60,70,50,340,3,0
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,3,0
273,Seedot,Grass,,40,40,50,30,30,30,220,3,0
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,3,0
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,3,0
276,Taillow,Normal,Flying,40,55,30,30,30,85,270,3,0
277,Swellow,Normal,Flying,60,85,60,75,50,125,455,3,0
278,Wingull,Water,Flying,40,30,30,55,30,85,270,3,0
279,Pelipper,Water,Flying,60,50,100,95,70,65,440,3,0
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,3,0
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,3,0
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,3,0
282,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,618,3,0
283,Surskit,Bug,Water,40,30,32,50,52,65,269,3,0
284,Masquerain,Bug,Flying,70,60,62,100,82,80,454,3,0
285,Shroomish,Grass,,60,40,60,40,60,35,295,3,0
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460,3,0
287,Slakoth,Normal,,60,60,60,35,35,30,280,3,0
288,Vigoroth,Normal,,80,80,80,55,55,90,440,3,0
289,Slaking,Normal,,150,160,100,95,65,100,670,3,0
290,Nincada,Bug,Ground,31,45,90,30,30,40,266,3,0
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,3,0
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,3,0
293,Whismur,Normal,,64,51,23,51,23,28,240,3,0
